Seq Num,Obs ID,Instrument,Grating,Appr. Exp (s),Exposure (s),Target Name,PI,RA,DEC,Status,Data Mode,Exp Mode,Avg Cnt Rate,Evt Counts,Start Date,Publich Release Date,Proposal,Type,Obs Cycle,Prop Cycle,Sciencs Category,Joint
800209,3209,ACIS-S,NONE,97,95.77,ABELL 426,Fabian,03 19 47.60,+41 30 37.00,archived,FAINT,TE,97.42,9330115,2002-08-08 08:03:50,2003-08-21 06:15:11,3800286,GO,3,3,CLUSTERS OF GALAXIES,None
800209,3404,ACIS-S,NONE,5,5.31,ABELL 426,Fabian,03 19 47.60,+41 30 37.00,archived,FAINT,TE,21.14,112345,2002-08-11 15:58:56,2003-08-21 06:15:11,3800286,GO,3,3,CLUSTERS OF GALAXIES,None
800209,4289,ACIS-S,NONE,96.5,95.41,ABELL 426,Fabian,03 19 47.60,+41 30 37.00,archived,FAINT,TE,97.5,9303275,2002-08-10 12:51:55,2003-08-21 06:15:11,3800286,GO,3,3,CLUSTERS OF GALAXIES,None
800397,4946,ACIS-S,NONE,29,23.66,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,99.93,2364627,2004-10-06 21:15:02,2005-10-25 08:19:10,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800397,4947,ACIS-S,NONE,30,29.79,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,99.84,2973947,2004-10-11 16:52:13,2005-10-25 08:19:10,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800398,4948,ACIS-S,NONE,120,118.61,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,99.82,11839303,2004-10-09 10:58:56,2005-10-25 08:25:14,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800398,4949,ACIS-S,NONE,30,29.38,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,99.61,2926734,2004-10-12 01:40:38,2005-10-25 08:25:14,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800399,4950,ACIS-S,NONE,100,96.92,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,105.46,10220629,2004-10-12 10:09:08,2005-10-19 08:18:10,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800399,4951,ACIS-S,NONE,100,96.12,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,99.51,9565165,2004-10-17 07:08:18,2005-10-19 08:18:10,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800400,4952,ACIS-S,NONE,170,164.24,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,99.68,16371220,2004-10-14 06:29:56,2005-10-19 10:16:09,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800400,4953,ACIS-S,NONE,30,30.08,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,99.46,2991536,2004-10-18 10:27:52,2005-10-19 10:16:09,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800397,6139,ACIS-S,NONE,50,56.43,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,99.96,5640291,2004-10-04 22:36:53,2005-10-25 08:19:10,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800397,6145,ACIS-S,NONE,91,85,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,99.82,8484771,2004-10-19 22:21:52,2005-10-25 08:19:10,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800398,6146,ACIS-S,NONE,50,47.13,Abell 426,Fabian,03 19 48.20,+41 30 42.20,archived,FAINT,TE,99.97,4711580,2004-10-20 22:38:07,2005-10-25 08:25:14,5800170,GO,5,5,CLUSTERS OF GALAXIES,None
800855,11713,ACIS-I,NONE,114,112.24,"Perseus cluster, Abell 426",Fabian,03 19 31.80,+41 37 49.00,archived,FAINT,TE,62.36,6999964,2009-11-29 19:18:58,2010-12-04 06:27:26,11800102,GO,11,11,CLUSTERS OF GALAXIES,None
800938,11714,ACIS-I,NONE,100,91.99,"Perseus cluster, Abell 426",Fabian,03 19 42.60,+41 34 07.00,archived,FAINT,TE,69.1,6356492,2009-12-07 18:27:07,2010-12-10 08:27:46,11800102,GO,11,11,CLUSTERS OF GALAXIES,None
800856,11715,ACIS-I,NONE,79,73.36,"Perseus cluster, Abell 426",Fabian,03 19 44.20,+41 25 18.00,archived,FAINT,TE,62.26,4567202,2009-12-02 21:37:45,2010-12-08 07:47:33,11800102,GO,11,11,CLUSTERS OF GALAXIES,None
800856,11716,ACIS-I,NONE,40,39.64,"Perseus cluster, Abell 426",Fabian,03 19 44.20,+41 25 18.00,archived,FAINT,TE,64.54,2558601,2009-10-10 12:12:31,2010-12-08 07:47:33,11800102,GO,11,11,CLUSTERS OF GALAXIES,None
800855,12025,ACIS-I,NONE,19,17.93,"Perseus cluster, Abell 426",Fabian,03 19 31.80,+41 37 49.00,archived,FAINT,TE,58.32,1045787,2009-11-25 16:59:50,2010-12-04 06:27:26,11800102,GO,11,11,CLUSTERS OF GALAXIES,None
800855,12033,ACIS-I,NONE,19,18.89,"Perseus cluster, Abell 426",Fabian,03 19 31.80,+41 37 49.00,archived,FAINT,TE,58.13,1097842,2009-11-27 09:14:01,2010-12-04 06:27:26,11800102,GO,11,11,CLUSTERS OF GALAXIES,None
800855,12036,ACIS-I,NONE,48,47.92,"Perseus cluster, Abell 426",Fabian,03 19 31.80,+41 37 49.00,archived,FAINT,TE,62.3,2985661,2009-12-02 07:43:45,2010-12-04 06:27:26,11800102,GO,11,11,CLUSTERS OF GALAXIES,None
800856,12037,ACIS-I,NONE,81,84.63,"Perseus cluster, Abell 426",Fabian,03 19 44.20,+41 25 18.00,archived,FAINT,TE,62.4,5281038,2009-12-05 18:06:40,2010-12-08 07:47:33,11800102,GO,11,11,CLUSTERS OF GALAXIES,None
801169,13989,ACIS-I,NONE,37.5,38.24,Perseus Cluster NW,Simionescu,03 17 14.70,+42 19 42.60,archived,VFAINT,TE,3.3,126141,2011-11-07 02:28:06,2012-11-10 07:30:32,13800358,GO,13,13,CLUSTERS OF GALAXIES,None
801170,13990,ACIS-I,NONE,37.5,37.05,Perseus Cluster NW,Simionescu,03 17 14.70,+42 20 03.50,archived,VFAINT,TE,3.28,121467,2011-11-11 15:33:28,2012-11-13 07:21:01,13800358,GO,13,13,CLUSTERS OF GALAXIES,None
801171,13991,ACIS-I,NONE,37.5,37.05,Perseus Cluster NW,Simionescu,03 17 16.90,+42 20 03.80,archived,VFAINT,TE,3.3,122246,2011-11-05 07:57:57,2012-11-07 15:30:10,13800358,GO,13,13,CLUSTERS OF GALAXIES,None
801172,13992,ACIS-I,NONE,37.5,36.79,Perseus Cluster NW,Simionescu,03 17 17.00,+42 19 43.00,archived,VFAINT,TE,3.31,121942,2011-11-05 19:07:01,2012-11-07 15:40:09,13800358,GO,13,13,CLUSTERS OF GALAXIES,None
801503,17258,ACIS-I,NONE,5,5,Perseus cluster,Allen,03 17 05.40,+40 42 22.52,archived,VFAINT,TE,3.02,15088,2015-12-03 20:56:00,2016-12-04 05:21:14,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801504,17259,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 17 28.89,+40 57 24.70,archived,VFAINT,TE,3.2,15070,2015-12-03 22:41:40,2016-12-07 05:31:14,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801505,17260,ACIS-I,NONE,5,5,Perseus cluster,Allen,03 18 51.13,+40 58 39.85,archived,VFAINT,TE,3.64,18209,2015-12-01 09:19:53,2016-12-02 05:11:36,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801506,17261,ACIS-I,NONE,5,5,Perseus cluster,Allen,03 20 14.04,+41 01 33.44,archived,VFAINT,TE,3.93,19661,2015-12-01 22:01:16,2016-12-03 05:21:10,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801507,17262,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 20 26.28,+40 46 19.46,archived,VFAINT,TE,2.86,13483,2015-12-07 11:49:11,2016-12-07 16:31:21,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801508,17263,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 20 39.59,+40 30 47.42,archived,VFAINT,TE,2.83,13347,2015-12-04 00:13:31,2016-12-07 05:21:34,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801509,17264,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 21 33.25,+41 03 00.60,archived,VFAINT,TE,3.59,16893,2015-12-01 23:50:16,2016-12-03 05:11:21,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801510,17265,ACIS-I,NONE,5,5.01,Perseus cluster,Allen,03 22 54.67,+41 03 39.13,archived,VFAINT,TE,3.05,15268,2015-12-07 09:57:08,2016-12-07 16:31:22,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801511,17266,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 24 13.69,+40 58 02.22,archived,VFAINT,TE,2.92,13771,2015-12-04 01:45:54,2016-12-07 05:31:14,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801512,17267,ACIS-I,NONE,5,5.02,Perseus cluster,Allen,03 22 22.58,+41 19 13.99,archived,VFAINT,TE,3.55,17806,2015-12-12 01:25:30,2016-12-13 21:41:12,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801513,17268,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 22 44.30,+41 34 37.28,archived,VFAINT,TE,4.03,18969,2015-12-01 11:08:02,2016-12-02 05:21:29,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801514,17269,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 23 54.65,+41 40 39.21,archived,VFAINT,TE,3.12,14726,2015-12-01 12:40:45,2016-12-02 05:31:28,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801515,17270,ACIS-I,NONE,5,4.73,Perseus cluster,Allen,03 25 16.74,+41 42 03.43,archived,VFAINT,TE,2.15,10167,2015-12-12 03:13:55,2016-12-13 11:11:11,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801516,17271,ACIS-I,NONE,5,5,Perseus cluster,Allen,03 22 04.99,+41 49 16.30,archived,VFAINT,TE,3.69,18465,2015-12-10 04:50:08,2016-12-10 11:01:11,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801517,17272,ACIS-I,NONE,5,5.02,Perseus cluster,Allen,03 22 12.66,+42 05 10.06,archived,VFAINT,TE,2.35,11781,2015-12-07 13:22:18,2016-12-08 05:21:28,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801518,17273,ACIS-I,NONE,5,5.01,Perseus cluster,Allen,03 22 38.70,+42 19 32.12,archived,VFAINT,TE,2.78,13911,2015-12-11 18:54:20,2016-12-12 14:01:30,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801519,17274,ACIS-I,NONE,5,5,Perseus cluster,Allen,03 20 50.73,+41 59 58.49,archived,VFAINT,TE,3.73,18637,2015-12-09 20:42:52,2016-12-10 08:51:33,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801520,17275,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 19 29.36,+41 58 00.08,archived,VFAINT,TE,4.76,22434,2015-12-09 22:25:39,2016-12-10 10:21:11,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801521,17276,ACIS-I,NONE,5,5.02,Perseus cluster,Allen,03 19 01.86,+42 13 44.91,archived,VFAINT,TE,2.42,12141,2015-12-09 23:57:29,2016-12-10 09:01:11,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801522,17277,ACIS-I,NONE,5,4.73,Perseus cluster,Allen,03 18 48.83,+42 29 02.79,archived,VFAINT,TE,2.22,10480,2015-12-10 01:46:06,2016-12-10 10:51:16,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801523,17278,ACIS-I,NONE,5,4.73,Perseus cluster,Allen,03 18 07.03,+41 57 16.65,archived,VFAINT,TE,2.89,13678,2015-12-10 03:18:07,2016-12-16 19:01:17,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801524,17279,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 16 44.61,+41 54 59.53,archived,VFAINT,TE,3.55,16699,2015-11-30 02:15:10,2016-12-01 05:21:25,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801525,17280,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 15 25.24,+41 59 39.87,archived,VFAINT,TE,3.01,14188,2015-12-11 23:53:02,2016-12-12 14:01:31,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801526,17281,ACIS-I,NONE,5,4.7,Perseus cluster,Allen,03 15 32.79,+41 22 35.28,archived,VFAINT,TE,3.27,15403,2015-12-11 20:46:16,2016-12-12 14:01:31,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801527,17282,ACIS-I,NONE,5,4.71,Perseus cluster,Allen,03 14 14.49,+41 19 08.88,archived,VFAINT,TE,2.93,13818,2015-12-11 22:20:57,2016-12-13 21:41:11,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801528,17283,ACIS-I,NONE,5,5.02,Perseus cluster,Allen,03 19 21.25,+41 11 23.33,archived,VFAINT,TE,5.33,26743,2015-10-06 11:36:29,2016-10-07 05:21:08,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801529,17284,ACIS-I,NONE,5,4.73,Perseus cluster,Allen,03 20 58.66,+41 16 53.44,archived,VFAINT,TE,6.91,32673,2015-10-06 13:21:23,2016-10-07 05:21:08,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801530,17285,ACIS-I,NONE,5,4.73,Perseus cluster,Allen,03 21 37.74,+41 33 28.72,archived,VFAINT,TE,7.21,34119,2015-10-06 14:53:13,2016-10-07 05:31:06,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
801531,17286,ACIS-I,NONE,5,4.73,Perseus cluster,Allen,03 20 42.30,+41 50 05.79,archived,VFAINT,TE,4.11,19463,2015-10-06 16:25:03,2016-10-07 05:31:06,16800086,GO,16,16,CLUSTERS OF GALAXIES,None
